Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
506,Emilio J Flores-Sola,https://scholar.google.co.uk/citations?hl=en&user=FXWEEcYAAAAJ,"Ph.D. Student, Coventry University and Université de Lorraine",,41
507,Victoria Thoms,https://scholar.google.co.uk/citations?hl=en&user=nuMxuCYAAAAJ,"Research Fellow, Centre for Dance Research, Coventry University, UK",Dance studies Trauma studies Gender studies Feminist Theory ,41
508,Maximilian M Wdowski,https://scholar.google.co.uk/citations?hl=en&user=IUQoA-0AAAAJ,"Lecturer, Coventry University",Biomechanics Motor Control ,41
509,Rebwar Kamal Gharib,https://scholar.google.co.uk/citations?hl=en&user=1O0JKRsAAAAJ,Coventry University,management information systems e-commerce ,40
510,Reda Albodour,https://scholar.google.co.uk/citations?hl=en&user=7Lg-188AAAAJ,Coventry University,Cloud Computing Big Data Quality of Service Connected homes Connected cars ,40
511,Ameya Saonerkar,https://scholar.google.co.uk/citations?hl=en&user=UHRczgQAAAAJ,"Coventry University, Master of Science",Machine Learning Artificial Intelligence Supervised/Unsupervised ML ,40
512,Dr. Sandy Taramonli,https://scholar.google.co.uk/citations?hl=en&user=kVg3MGAAAAAJ,Coventry University,Cyber Security ,39
513,Yahaya Isah Shehu,https://scholar.google.co.uk/citations?hl=en&user=0MSgLxgAAAAJ,Coventry University,Computing ,39
514,Gerry Urwin,https://scholar.google.co.uk/citations?hl=en&user=SAolL84AAAAJ,Coventry University,Strategy ,38
515,Shadi Bokaee,https://scholar.google.co.uk/citations?hl=en&user=iDy9okIAAAAJ,Coventry University,Tumour Immunology ,38
516,pattanapong tiwasing,https://scholar.google.co.uk/citations?hl=en&user=eE7yNGMAAAAJ,"Research Fellow, Faculty of Business and Law, Coventry University",Rural Enterprise Small Business Economics Rural Digital Economy Food Security ,38
517,Remus Cirstea,https://scholar.google.co.uk/citations?hl=en&user=TICsOiAAAAAJ,"Lecturer in Fluid Dynamics, Coventry University",Vehicle Aerodynamics Wind Tunnel Computational Fluid Dynamics Turbulence Modelling ,37
518,Adah-Kole Emmanuel Onjewu,https://scholar.google.co.uk/citations?hl=en&user=qC14n80AAAAJ,Lecturer in Strategy at Coventry University,Entrepreneurship International Business Tourism & Hospitality ,37
519,Charley Hill-Butler,https://scholar.google.co.uk/citations?hl=en&user=F_FBDLgAAAAJ,"Lecturer in Physical Geography and Natural Hazards, Coventry University",Natural Hazards Remote Sensing ,37
520,Cherisse Hoyte,https://scholar.google.co.uk/citations?hl=en&user=mq-hH-MAAAAJ,"Coventry University, International Centre for Transformational Entrepreneurship (ICTE)",sensemaking and sensegiving gender and entrepreneurship entrepreneurial process identity leadership ,36
